MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,DBDS14125A01F,,,,,DBDS14125A01F,"DBDS14125A01F Diablo 14""x1"" - Steel Demon Metal Cut-Off Disc",,,,Freud Inc (2435),Freud,Diablo,,DBDS14125A01F,,Abrasives>Cut-Off Discs,"Freud Diablo, Cut-Off Disc, Steel Demon Series, DBDS14125A01F, 14 in Diameter",DISC CUTOFF 14X1 DBDS14125A01F,"Diablo Steel Demon DBDS14125A01F Cut-Off Disc, 14 in Diameter, 1 in Thickness","Diablo Cut-Off Disc, 14 in Diameter, 1 in Thickness.","Steel Demon, Cut-Off Disc, 14 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",14 in Diameter,1 in Thickness,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,14,in,Thickness,1,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,DBDS14125G01F,,,,,DBDS14125G01F,"DBDS14125G01F Diablo 14""x20mm - Steel Demon Metal Cut-Off Disc",,,,Freud Inc (2435),Freud,Diablo,,DBDS14125G01F,,Abrasives>Cut-Off Discs,"Freud Diablo, Cut-Off Disc, Steel Demon Series, DBDS14125G01F, 14 in Diameter",DISC CUTOFF 14X20 DBDS14125G01F,"Diablo Steel Demon DBDS14125G01F Cut-Off Disc, 14 in Diameter, 20 mm Thickness","Diablo Cut-Off Disc, 14 in Diameter, 20 mm Thickness.","Steel Demon, Cut-Off Disc, 14 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",14 in Diameter,20 mm Thickness,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,14,in,Thickness,20,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0013,,,,,49-94-0013,"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0013,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0013, 5 in Diameter, .045 in Thickness",DISC CUTOFF 5X.045X7/8 49-94-0013,"Milwaukee Standard Series 49-94-0013 Cut-Off Disc, 5 in Diameter, .045 in Thickness, 7/8 in Arbor Size","Milwaukee Cut-Off Disc, 5 in Diameter, .045 in Thickness, 7/8 in Arbor Size.","Cut-Off Disc, 5 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",5 in Diameter,.045 in Thickness,7/8 in Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,5,in,Thickness,.045,in,Arbor Size,7/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0029,,,,,49-94-0029,"49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0029,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0029, 6-1/2 in Diameter, 1/8 in Thickness",DISC CUTOFF 6-1/2X1/8X5/8 49-94-0029,"Milwaukee Standard Series 49-94-0029 Cut-Off Disc, 6-1/2 in Diameter, 1/8 in Thickness, 5/8 in Arbor Size","Milwaukee Cut-Off Disc, 6-1/2 in Diameter, 1/8 in Thickness, 5/8 in Arbor Size.","Cut-Off Disc, 6-1/2 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",6-1/2 in Diameter,1/8 in Thickness,5/8 in Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,6-1/2,in,Thickness,1/8,in,Arbor Size,5/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0033,,,,,49-94-0033,"49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0033,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0033, 7 in Diameter, 1/16 in Thickness",DISC CUTOFF 7X1/16X7/8 49-94-0033,"Milwaukee Standard Series 49-94-0033 Cut-Off Disc, 7 in Diameter, 1/16 in Thickness, 7/8 in Arbor Size","Milwaukee Cut-Off Disc, 7 in Diameter, 1/16 in Thickness, 7/8 in Arbor Size.","Cut-Off Disc, 7 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",7 in Diameter,1/16 in Thickness,7/8 in Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,7,in,Thickness,1/16,in,Arbor Size,7/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0001,,,,,49-94-0001,"49-94-0001 Milw 4""x.040""x5/8"" Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0001,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0001, 4 in Diameter, 0.040 in Thickness",DISC CUTOFF 4X0.040X5/8 49-94-0001,"Milwaukee Standard Series 49-94-0001 Cut-Off Disc, 4 in Diameter, 0.040 in Thickness, 5/8 in Arbor Size","Milwaukee Cut-Off Disc, 4 in Diameter, 0.040 in Thickness, 5/8 in Arbor Size.","Cut-Off Disc, 4 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",4 in Diameter,0.040 in Thickness,5/8 in Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,4,in,Thickness,0.040,in,Arbor Size,5/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0039,,,,,49-94-0039,"49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0039,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0039, 7 in Diameter, 1/8 in Thickness",DISC CUTOFF 7X1/8X5/8 49-94-0039,"Milwaukee Standard Series 49-94-0039 Cut-Off Disc, 7 in Diameter, 1/8 in Thickness, 5/8 in Arbor Size","Milwaukee Cut-Off Disc, 7 in Diameter, 1/8 in Thickness, 5/8 in Arbor Size.","Cut-Off Disc, 7 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",7 in Diameter,1/8 in Thickness,5/8 in Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,7,in,Thickness,1/8,in,Arbor Size,5/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0043,,,,,49-94-0043,"49-94-0043 Milw 9""x3/32""x7/8"" Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0043,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0043, 9 in Diameter, 3/32 in Thickness",DISC CUTOFF 9X3/32X7/8 49-94-0043,"Milwaukee Standard Series 49-94-0043 Cut-Off Disc, 9 in Diameter, 3/32 in Thickness, 7/8 in Arbor Size","Milwaukee Cut-Off Disc, 9 in Diameter, 3/32 in Thickness, 7/8 in Arbor Size.","Cut-Off Disc, 9 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",9 in Diameter,3/32 in Thickness,7/8 in Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,9,in,Thickness,3/32,in,Arbor Size,7/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0048,,,,,49-94-0048,"49-94-0048 Milw 12""x7/64""x1"" Metal Cut Off Disc General Purpose",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0048,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0048, 12 in Diameter, 7/64 in Thickness",DISC CUTOFF 12X7/64X1 49-94-0048,"Milwaukee Standard Series 49-94-0048 Cut-Off Disc, 12 in Diameter, 7/64 in Thickness, 1 in Arbor Size","Milwaukee Cut-Off Disc, 12 in Diameter, 7/64 in Thickness, 1 in Arbor Size.","Cut-Off Disc, 12 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",12 in Diameter,7/64 in Thickness,1 in Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,12,in,Thickness,7/64,in,Arbor Size,1,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0053,,,,,49-94-0053,"49-94-0053 Milw 12""x1/8""x1"" Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0053,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0053, 12 in Diameter, 1/8 in Thickness",DISC CUTOFF 12X1/8X1 49-94-0053,"Milwaukee Standard Series 49-94-0053 Cut-Off Disc, 12 in Diameter, 1/8 in Thickness, 1 in Arbor Size","Milwaukee Cut-Off Disc, 12 in Diameter, 1/8 in Thickness, 1 in Arbor Size.","Cut-Off Disc, 12 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",12 in Diameter,1/8 in Thickness,1 in Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,12,in,Thickness,1/8,in,Arbor Size,1,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0058,,,,,49-94-0058,"49-94-0058 Milw 12""x1/8""x20mm Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0058,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0058, 12 in Diameter, 1/8 in Thickness",DISC CUTOFF 12X1/8X20 49-94-0058,"Milwaukee Standard Series 49-94-0058 Cut-Off Disc, 12 in Diameter, 1/8 in Thickness, 20 mm Arbor Size","Milwaukee Cut-Off Disc, 12 in Diameter, 1/8 in Thickness, 20 mm Arbor Size.","Cut-Off Disc, 12 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",12 in Diameter,1/8 in Thickness,20 mm Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,12,in,Thickness,1/8,in,Arbor Size,20,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0063,,,,,49-94-0063,"49-94-0063 Milw 14""x7/64""x1"" Metal Cut Off Disc General Purpose",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0063,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0063, 14 in Diameter, 7/64 in Thickness",DISC CUTOFF 14X7/64X1 49-94-0063,"Milwaukee Standard Series 49-94-0063 Cut-Off Disc, 14 in Diameter, 7/64 in Thickness, 1 in Arbor Size","Milwaukee Cut-Off Disc, 14 in Diameter, 7/64 in Thickness, 1 in Arbor Size.","Cut-Off Disc, 14 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",14 in Diameter,7/64 in Thickness,1 in Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,14,in,Thickness,7/64,in,Arbor Size,1,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0068,,,,,49-94-0068,"49-94-0068 Milw 14""x1/8""x20mm Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0068,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0068, 14 in Diameter, 1/8 in Thickness",DISC CUTOFF 14X1/8X20 49-94-0068,"Milwaukee Standard Series 49-94-0068 Cut-Off Disc, 14 in Diameter, 1/8 in Thickness, 20 mm Arbor Size","Milwaukee Cut-Off Disc, 14 in Diameter, 1/8 in Thickness, 20 mm Arbor Size.","Cut-Off Disc, 14 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",14 in Diameter,1/8 in Thickness,20 mm Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,14,in,Thickness,1/8,in,Arbor Size,20,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0073,,,,,49-94-0073,"49-94-0073 Milw 14""x1/8""x1"" Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0073,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, 49-94-0073, 14 in Diameter, 1/8 in Thickness",DISC CUTOFF 14X1/8X1 49-94-0073,"Milwaukee Standard Series 49-94-0073 Cut-Off Disc, 14 in Diameter, 1/8 in Thickness, 1 in Arbor Size","Milwaukee Cut-Off Disc, 14 in Diameter, 1/8 in Thickness, 1 in Arbor Size.","Cut-Off Disc, 14 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",14 in Diameter,1/8 in Thickness,1 in Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,14,in,Thickness,1/8,in,Arbor Size,1,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0101,,,,,49-94-0101,"49-94-0101 Milw 4-1/2""x.045""x7/8"" Perform+ Metal Cut Off Disc 10pc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0101,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, Performance+ Series, 49-94-0101, 4-1/2 in Diameter",DISC CUTOFF 4-1/2X.045X7/8 49-94-0101,"Milwaukee Performance+ 49-94-0101 Cut-Off Disc, 4-1/2 in Diameter, .045 in Thickness, 7/8 in Arbor Size","Milwaukee Cut-Off Disc, 4-1/2 in Diameter, .045 in Thickness, 7/8 in Arbor Size, 10 Pack Size.","Performance+, Cut-Off Disc, 4-1/2 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",4-1/2 in Diameter,.045 in Thickness,7/8 in Arbor Size,10 per Box,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,4-1/2,in,Thickness,.045,in,Arbor Size,7/8,in,Pack Size,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,49-94-0107,,,,,49-94-0107,"49-94-0107 Milw 4-1/2""x.045""x7/8"" Performance+ Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee,Milwaukee,,49-94-0107,,Abrasives>Cut-Off Discs,"Milwaukee, Cut-Off Disc, Performance+ Series, 49-94-0107, 4-1/2 in Diameter",DISC CUTOFF 4-1/2X.045X7/8 49-94-0107,"Milwaukee Performance+ 49-94-0107 Cut-Off Disc, 4-1/2 in Diameter, .045 in Thickness, 7/8 in Arbor Size","Milwaukee Cut-Off Disc, 4-1/2 in Diameter, .045 in Thickness, 7/8 in Arbor Size.","Performance+, Cut-Off Disc, 4-1/2 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",4-1/2 in Diameter,.045 in Thickness,7/8 in Arbor Size,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,4-1/2,in,Thickness,.045,in,Arbor Size,7/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
